DEP_TIME_BLK,sum(DEP_DELAY),sum(CARRIER_DELAY),sum(WEATHER_DELAY),sum(NAS_DELAY),sum(SECURITY_DELAY),sum(LATE_AIRCRAFT_DELAY)
0900-0959,23080581,13627288,1634921,9413501,53771,10230717
1700-1759,67391298,19106830,4249897,18630232,100472,33263583
2300-2359,5886441,2495085,245165,928718,14122,2667934
1200-1259,39060725,14491592,2120982,12048493,73974,19456861
2100-2159,31984155,10540529,1656115,4721273,54923,15898365
2000-2059,51993268,16127829,3043213,9199802,91013,26505035
1300-1359,41859180,14657474,2211125,12609569,70740,20102521
1600-1659,54731914,16144326,3290561,15247071,88828,26742758
0600-0659,11561132,18736047,2501781,8408736,94500,2612224
1900-1959,61865821,16834864,3306634,12678624,86341,32331844
1100-1159,33628152,13631947,1724739,11245232,63379,16751214
2200-2259,21872076,8694759,1531044,2731382,32178,10108926
1400-1459,46973157,15418262,2694327,13815858,67078,22263964
1800-1859,64327357,17513555,3582392,15384873,93016,33255192
1000-1059,29179398,13451165,1659452,10094878,69494,14878440
0700-0759,15383830,17723972,2332148,10050755,83270,4267213
1500-1559,53088212,16753339,3166679,15651166,79914,25013833
0001-0559,6125609,7205095,853679,2437129,38321,2047849
0800-0859,20831069,17089401,2084740,10745180,67939,7122593
